S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
124,2024-08-08,380.00,384.90,375.00,375.10,-0.77,"134,799.00","50,962,171.50"
125,2024-08-07,372.10,380.40,367.00,378.00,1.59,"181,152.00","68,040,499.90"
126,2024-08-06,393.00,393.00,372.00,372.10,-3.60,"338,449.00","129,531,986.70"
127,2024-08-05,377.10,400.00,377.10,386.00,4.38,"622,697.00","241,206,158.60"
128,2024-08-01,383.00,383.00,369.50,369.80,-1.75,"302,530.00","112,890,009.80"
129,2024-07-31,373.00,384.90,370.10,376.40,-0.16,"287,817.00","109,362,943.20"
130,2024-07-30,384.50,384.50,362.00,377.00,0.00,"230,971.00","85,649,042.00"
131,2024-07-29,394.90,400.00,374.00,377.00,-2.63,"296,529.00","113,744,206.10"
132,2024-07-28,359.00,387.20,359.00,387.20,10.00,"671,424.00","255,583,871.90"
133,2024-07-25,337.50,354.00,337.00,352.00,3.07,"222,739.00","77,525,495.90"
134,2024-07-24,343.00,347.00,337.20,341.50,-0.58,"194,863.00","66,541,531.30"
135,2024-07-23,330.00,350.00,324.00,343.50,4.09,"237,532.00","80,016,071.50"
136,2024-07-22,335.00,335.00,323.40,330.00,-1.49,"151,988.00","50,039,806.40"
137,2024-07-21,332.00,340.00,321.60,335.00,0.96,"304,300.00","101,808,123.40"
138,2024-07-18,314.10,340.00,309.00,331.80,5.67,"213,901.00","69,657,317.30"
139,2024-07-17,316.20,316.20,305.00,314.00,1.29,"147,540.00","45,815,225.80"
140,2024-07-16,299.00,320.00,288.80,310.00,5.44,"270,358.00","80,587,886.30"
141,2024-07-15,304.40,308.00,290.20,294.00,-1.51,"115,912.00","34,259,252.80"
142,2024-07-14,296.80,308.00,294.00,298.50,2.58,"113,142.00","33,735,563.70"
143,2024-07-11,288.10,291.80,286.00,291.00,1.57,"139,159.00","40,177,460.20"
144,2024-07-10,283.00,288.00,282.00,286.50,0.46,"42,559.00","12,128,099.30"
145,2024-07-09,286.10,287.50,278.00,285.20,1.68,"274,360.00","78,261,794.40"
146,2024-07-08,282.00,286.40,279.40,280.50,-0.21,"49,865.00","14,044,240.70"
147,2024-07-07,271.00,283.00,271.00,281.10,3.00,"106,759.00","29,570,800.60"
148,2024-07-04,270.00,275.00,267.10,272.90,0.70,"86,098.00","23,340,200.90"
149,2024-07-03,272.00,274.90,262.00,271.00,-0.37,"41,796.00","11,197,687.80"
150,2024-07-02,272.80,286.60,268.40,272.00,1.68,"87,848.00","23,953,893.40"
151,2024-07-01,256.00,268.00,256.00,267.50,3.28,"62,619.00","16,596,784.80"
152,2024-06-30,262.00,262.90,257.30,259.00,-0.77,"17,310.00","4,482,561.40"
153,2024-06-27,260.10,265.00,260.00,261.00,-0.76,"28,727.00","7,479,023.30"
154,2024-06-26,260.10,264.00,260.00,263.00,0.19,"7,484.00","1,963,148.10"
155,2024-06-25,266.00,267.00,261.00,262.50,-0.94,"22,605.00","5,952,486.80"
156,2024-06-24,265.20,286.00,257.10,265.00,1.92,"41,247.00","10,856,480.70"
157,2024-06-23,258.10,287.10,258.00,260.00,-0.38,"22,427.00","5,847,220.40"
158,2024-06-20,258.00,265.00,258.00,261.00,-0.76,"14,554.00","3,791,134.00"
159,2024-06-19,266.70,266.70,261.10,263.00,0.57,"8,129.00","2,129,622.10"
160,2024-06-18,267.90,267.90,261.50,261.50,-2.43,"19,809.00","5,224,418.50"
161,2024-06-16,270.00,270.00,261.20,268.00,0.75,"33,067.00","8,772,513.70"
162,2024-06-13,269.00,269.00,264.60,266.00,-1.12,"17,533.00","4,657,802.50"
163,2024-06-12,263.00,282.90,259.60,269.00,3.86,"35,200.00","9,303,155.40"
164,2024-06-11,259.00,261.00,254.00,259.00,1.97,"26,904.00","6,911,805.40"
165,2024-06-10,260.10,260.10,249.90,254.00,-0.39,"38,941.00","9,767,907.90"
166,2024-06-09,267.10,267.10,255.00,255.00,-2.63,"30,419.00","7,820,682.60"
167,2024-06-06,268.50,268.50,260.00,261.90,-0.80,"23,243.00","6,060,520.50"
168,2024-06-05,272.20,272.20,262.40,264.00,-1.09,"16,572.00","4,373,892.20"
169,2024-06-04,267.20,267.20,258.00,266.90,1.87,"39,795.00","10,462,244.80"
170,2024-06-03,270.30,270.30,261.20,262.00,-1.13,"26,425.00","6,961,479.20"
171,2024-06-02,264.90,265.60,258.10,265.00,1.53,"36,533.00","9,581,141.90"
172,2024-05-30,267.00,267.30,260.00,261.00,-3.33,"30,737.00","8,058,622.40"
173,2024-05-29,282.50,292.90,267.00,270.00,-2.53,"55,763.00","15,262,204.40"
174,2024-05-27,277.50,280.00,272.00,277.00,-0.18,"63,787.00","17,497,028.40"
175,2024-05-26,285.00,285.60,276.00,277.50,-0.89,"93,070.00","26,082,482.60"
176,2024-05-22,258.00,287.60,258.00,280.00,7.07,"168,134.00","45,697,872.80"
177,2024-05-21,266.30,266.30,260.10,261.50,0.15,"38,353.00","10,041,766.60"
178,2024-05-20,259.00,265.10,254.00,261.10,2.80,"147,012.00","38,457,283.50"
179,2024-05-19,245.90,260.10,242.00,254.00,5.35,"67,790.00","16,906,481.80"
180,2024-05-16,248.80,248.80,239.00,241.10,-1.19,"24,081.00","5,854,379.70"
181,2024-05-15,241.10,247.00,240.10,244.00,-0.41,"24,472.00","5,958,962.50"
182,2024-05-14,249.90,249.90,242.50,245.00,0.00,"13,509.00","3,314,731.60"
183,2024-05-13,243.70,246.00,235.00,245.00,2.51,"51,018.00","12,398,418.20"
184,2024-05-12,243.70,243.70,234.40,239.00,0.00,"14,870.00","3,514,468.30"
185,2024-05-09,236.80,241.50,233.10,239.00,2.58,"37,949.00","9,016,046.00"
186,2024-05-08,236.50,236.80,228.00,233.00,-1.73,"7,893.00","1,845,944.20"
187,2024-05-07,235.10,237.90,235.00,237.10,0.68,"20,390.00","4,815,076.20"
188,2024-05-06,239.80,240.00,235.00,235.50,-1.46,"22,081.00","5,213,374.20"
189,2024-05-05,238.00,240.00,234.50,239.00,-0.83,"22,003.00","5,207,394.70"
190,2024-05-02,244.80,244.80,238.00,241.00,0.42,"68,990.00","16,586,807.20"
191,2024-04-30,240.90,240.90,235.00,240.00,1.61,"35,982.00","8,592,327.40"
192,2024-04-29,240.20,240.20,232.00,236.20,0.30,"25,653.00","6,064,420.60"
193,2024-04-28,228.10,250.90,226.10,235.50,2.39,"30,349.00","6,992,774.20"
194,2024-04-25,229.00,232.90,227.50,230.00,0.22,"13,249.00","3,043,740.40"
195,2024-04-24,230.00,231.90,228.10,229.50,0.04,"18,242.00","4,195,411.40"
196,2024-04-22,234.00,235.00,229.00,229.40,-1.55,"20,603.00","4,769,306.50"
197,2024-04-21,227.80,234.00,225.00,233.00,4.30,"50,829.00","11,649,302.10"
198,2024-04-18,223.00,225.00,223.00,223.40,-0.09,"8,650.00","1,934,318.20"
199,2024-04-16,225.10,226.00,223.00,223.60,-0.62,"9,690.00","2,174,354.70"
200,2024-04-15,226.00,228.00,224.50,225.00,-0.49,"11,054.00","2,489,757.30"
201,2024-04-14,225.00,229.00,224.00,226.10,-0.40,"34,920.00","7,905,865.80"
202,2024-04-10,230.00,230.00,226.60,227.00,-0.22,"16,651.00","3,786,957.50"
203,2024-04-09,228.00,230.00,226.00,227.50,-0.22,"14,615.00","3,322,977.90"
204,2024-04-07,227.00,229.00,225.10,228.00,0.80,"23,508.00","5,305,895.70"
205,2024-04-04,226.10,227.50,226.00,226.20,-1.65,"16,873.00","3,818,198.60"
206,2024-04-03,230.00,230.00,226.00,230.00,0.88,"27,641.00","6,282,366.70"
207,2024-04-02,232.50,232.50,225.30,228.00,0.00,"14,167.00","3,206,644.70"
208,2024-04-01,228.00,230.00,225.00,228.00,-0.18,"29,683.00","6,717,812.70"
209,2024-03-31,228.00,232.00,227.40,228.40,-0.70,"12,071.00","2,773,438.30"
210,2024-03-28,234.70,234.70,228.40,230.00,-0.04,"17,792.00","4,089,951.50"
211,2024-03-27,233.50,234.40,228.50,230.10,-1.46,"35,243.00","8,108,945.80"
212,2024-03-26,234.00,235.00,231.20,233.50,0.00,"24,395.00","5,683,731.70"
213,2024-03-25,235.00,235.00,230.30,233.50,-0.64,"30,270.00","7,070,949.70"
214,2024-03-21,230.10,238.00,230.00,235.00,0.21,"18,890.00","4,432,653.00"
215,2024-03-20,239.00,239.00,230.20,234.50,0.04,"21,729.00","5,059,894.20"
216,2024-03-19,235.00,236.00,232.00,234.40,-0.26,"24,816.00","5,826,880.80"
217,2024-03-18,239.70,239.70,234.00,235.00,0.00,"21,615.00","5,097,592.90"
218,2024-03-17,233.00,235.00,230.00,235.00,0.64,"26,682.00","6,226,215.10"
219,2024-03-14,236.00,236.00,231.40,233.50,-1.06,"23,461.00","5,456,473.30"
220,2024-03-13,240.00,242.00,235.00,236.00,-1.54,"14,493.00","3,431,701.70"
221,2024-03-12,235.00,239.70,231.20,239.70,3.77,"34,642.00","8,161,336.30"
222,2024-03-10,232.60,236.00,228.00,231.00,1.27,"12,089.00","2,790,977.40"
223,2024-03-07,229.00,229.90,226.10,228.10,-0.09,"23,094.00","5,282,655.30"
224,2024-03-06,229.50,231.00,225.50,228.30,-0.52,"22,025.00","5,043,571.30"
